date,dummy,dummy,dummy,dummy,price
27/05/2016,0,0,0,0,1216.25
03/06/2016,0,0,0,0,1240.5
10/06/2016,0,0,0,0,1275.5
17/06/2016,0,0,0,0,1290.7
24/06/2016,0,0,0,0,1315.5
01/07/2016,0,0,0,0,1340
08/07/2016,0,0,0,0,1354.25
15/07/2016,0,0,0,0,1327
22/07/2016,0,0,0,0,1320.75
29/07/2016,0,0,0,0,1342
05/08/2016,0,0,0,0,1340.4
12/08/2016,0,0,0,0,1352.2
19/08/2016,0,0,0,0,1346.4
26/08/2016,0,0,0,0,1318.75
02/09/2016,0,0,0,0,1324.7
09/09/2016,0,0,0,0,1330.85
16/09/2016,0,0,0,0,1308.35
23/09/2016,0,0,0,0,1338.65
30/09/2016,0,0,0,0,1322.5
07/10/2016,0,0,0,0,1258.75
14/10/2016,0,0,0,0,1251.75
21/10/2016,0,0,0,0,1266.05
28/10/2016,0,0,0,0,1273
04/11/2016,0,0,0,0,1302.8
11/11/2016,0,0,0,0,1236.45
18/11/2016,0,0,0,0,1211
25/11/2016,0,0,0,0,1187.7
02/12/2016,0,0,0,0,1173.5
09/12/2016,0,0,0,0,1163.6
16/12/2016,0,0,0,0,1131.6
23/12/2016,0,0,0,0,1131.35
30/12/2016,0,0,0,0,1145.9
06/01/2017,0,0,0,0,1175.85
13/01/2017,0,0,0,0,1190.35
20/01/2017,0,0,0,0,1200.55
27/01/2017,0,0,0,0,1184.85
03/02/2017,0,0,0,0,1215.2
10/02/2017,0,0,0,0,1228.3
17/02/2017,0,0,0,0,1241.95
24/02/2017,0,0,0,0,1253.65
03/03/2017,0,0,0,0,1226.5
10/03/2017,0,0,0,0,1202.65
17/03/2017,0,0,0,0,1229.6
24/03/2017,0,0,0,0,1247.5
31/03/2017,0,0,0,0,1244.85
07/04/2017,0,0,0,0,1266.45
14/04/2017,0,0,0,0,1284.15
21/04/2017,0,0,0,0,1281.85
28/04/2017,0,0,0,0,1266.45
05/05/2017,0,0,0,0,1228.05
12/05/2017,0,0,0,0,1231.25
19/05/2017,0,0,0,0,1252
26/05/2017,0,0,0,0,1265.05
02/06/2017,0,0,0,0,1274.95
09/06/2017,0,0,0,0,1266.55
16/06/2017,0,0,0,0,1255.4
23/06/2017,0,0,0,0,1255.7
30/06/2017,0,0,0,0,1242.25
07/07/2017,0,0,0,0,1215.65
14/07/2017,0,0,0,0,1230.3
21/07/2017,0,0,0,0,1248.55
28/07/2017,0,0,0,0,1264.9
04/08/2017,0,0,0,0,1257.7
11/08/2017,0,0,0,0,1286.1
18/08/2017,0,0,0,0,1295.8
25/08/2017,0,0,0,0,1285.3
01/09/2017,0,0,0,0,1320.4
08/09/2017,0,0,0,0,1346.25
15/09/2017,0,0,0,0,1322.85
22/09/2017,0,0,0,0,1294.8
29/09/2017,0,0,0,0,1283.1
06/10/2017,0,0,0,0,1261.8
13/10/2017,0,0,0,0,1299.6
20/10/2017,0,0,0,0,1281.2
27/10/2017,0,0,0,0,1266.45
03/11/2017,0,0,0,0,1267.2
10/11/2017,0,0,0,0,1284.3
17/11/2017,0,0,0,0,1284.35
24/11/2017,0,0,0,0,1290.5
01/12/2017,0,0,0,0,1275.5
08/12/2017,0,0,0,0,1250.65
15/12/2017,0,0,0,0,1254.6
22/12/2017,0,0,0,0,1264.55
29/12/2017,0,0,0,0,1291
05/01/2018,0,0,0,0,1317.15
12/01/2018,0,0,0,0,1326.8
19/01/2018,0,0,0,0,1334.95
26/01/2018,0,0,0,0,1353.15
02/02/2018,0,0,0,0,1331.15
09/02/2018,0,0,0,0,1314.1
16/02/2018,0,0,0,0,1352.1
23/02/2018,0,0,0,0,1327.95
02/03/2018,0,0,0,0,1322.3
09/03/2018,0,0,0,0,1320.6
16/03/2018,0,0,0,0,1310.1
23/03/2018,0,0,0,0,1346.6
30/03/2018,0,0,0,0,1323.85
06/04/2018,0,0,0,0,1331.2
13/04/2018,0,0,0,0,1343.7
20/04/2018,0,0,0,0,1336.75
27/04/2018,0,0,0,0,1321.5
04/05/2018,0,0,0,0,1309.4
11/05/2018,0,0,0,0,1324.35
18/05/2018,0,0,0,0,1288.3
25/05/2018,0,0,0,0,1303.5
01/06/2018,0,0,0,0,1294.6
08/06/2018,0,0,0,0,1298.25
15/06/2018,0,0,0,0,1285.25
22/06/2018,0,0,0,0,1269.15
29/06/2018,0,0,0,0,1250.45
06/07/2018,0,0,0,0,1255.35
13/07/2018,0,0,0,0,1241.7
20/07/2018,0,0,0,0,1228.75
27/07/2018,0,0,0,0,1223.95
03/08/2018,0,0,0,0,1216.3
10/08/2018,0,0,0,0,1214.4
17/08/2018,0,0,0,0,1178.4
24/08/2018,0,0,0,0,1197.7
31/08/2018,0,0,0,0,1202.45
07/09/2018,0,0,0,0,1198.9
