Date,Open,High,Low,Close,Adj Close,Volume
09/09/2013,105.800003,105.830002,105.540001,105.690002,94.24511,1501700
16/09/2013,106.279999,106.989998,105.800003,106.769997,95.208183,3989600
23/09/2013,106.800003,107.360001,106.720001,107.290001,95.671867,3237700
30/09/2013,107.290001,107.330002,106.860001,107.059998,95.466774,5759000
07/10/2013,107.230003,107.269997,106.75,107.07,95.646133,4962200
14/10/2013,107.099998,107.82,106.739998,107.760002,96.262482,3794200
21/10/2013,107.709999,108.160004,107.580002,108.010002,96.485809,4018400
28/10/2013,108,108.209999,107.410004,107.449997,95.98555,5005600
04/11/2013,107.550003,107.599998,106.760002,106.82,95.59127,3453000
11/11/2013,106.82,107.389999,106.669998,107.360001,96.074524,6376500
18/11/2013,107.43,107.57,106.800003,107.239998,95.967125,5826300
25/11/2013,107.25,107.519997,107.209999,107.440002,96.146103,4207200
02/12/2013,107.099998,107.120003,106.449997,106.629997,95.421211,8969000
09/12/2013,106.699997,107.07,106.57,106.650002,95.449074,14098300
16/12/2013,106.919998,107.099998,106.470001,106.860001,95.637024,7022200
23/12/2013,106.860001,106.970001,105.349998,106.43,95.252205,4686400
30/12/2013,106.510002,106.629997,106.370003,106.540001,95.538979,8146900
06/01/2014,106.529999,107.099998,106.400002,107.099998,96.04113,9074200
13/01/2014,107.150002,107.309998,106.82,107.25,96.175644,7494200
20/01/2014,107.209999,107.650002,107.019997,107.580002,96.471588,5354400
27/01/2014,107.529999,108.07,107.339996,108.07,96.911003,10027200
03/02/2014,107.779999,108.230003,107.550003,107.82,96.686806,7166500
10/02/2014,107.860001,107.970001,107.449997,107.769997,96.826263,4790700
17/02/2014,107.760002,108.059998,107.57,107.800003,96.853218,3132800
24/02/2014,107.800003,108.370003,107.68,108.269997,97.275459,4216000
03/03/2014,108.209999,108.379997,107.419998,107.470001,96.556717,7730800
10/03/2014,107.5,108.169998,107.440002,107.93,97.149506,5284500
17/03/2014,107.910004,108,107.389999,107.589996,96.84346,3718500
24/03/2014,107.580002,108.099998,107.5,107.900002,97.122475,4849100
31/03/2014,107.830002,107.980003,107.330002,107.779999,97.01445,5933200
07/04/2014,107.940002,108.580002,107.889999,108.43,97.785248,5484300
14/04/2014,108.43,108.620003,108.099998,108.190002,97.568817,5953400
21/04/2014,108.269997,108.550003,108.050003,108.389999,97.749184,3782700
28/04/2014,108.389999,108.779999,108.239998,108.68,98.010689,5497700
05/05/2014,108.720001,108.900002,108.559998,108.690002,98.199097,5549000
12/05/2014,108.639999,109.449997,108.540001,109.199997,98.659882,5339600
19/05/2014,109.339996,109.389999,109.059998,109.230003,98.686966,3921900
26/05/2014,109.25,109.830002,109.099998,109.669998,99.084518,7991000
02/06/2014,109.290001,109.360001,108.730003,108.879997,98.370781,6616200
09/06/2014,108.839996,109,108.620003,108.879997,98.556824,5393000
16/06/2014,108.870003,109.029999,108.610001,108.940002,98.61113,4036200
23/06/2014,108.989998,109.5,108.839996,109.389999,99.01844,3356100
30/06/2014,109.470001,109.5,108.470001,108.620003,98.321495,4101300
07/07/2014,108.68,109.269997,108.620003,109.160004,98.987251,5461100
14/07/2014,109.110001,109.379997,108.900002,109.220001,99.041656,3798200
21/07/2014,109.349998,109.550003,109.120003,109.330002,99.141365,3381800
28/07/2014,109.370003,109.519997,108.760002,109.139999,98.969086,7025900
04/08/2014,109.199997,109.629997,108.949997,109.379997,99.369217,6666500
11/08/2014,109.400002,110.120003,109.309998,109.889999,99.832512,9646700
18/08/2014,109.790001,109.82,109.349998,109.559998,99.5327,5752100
25/08/2014,109.690002,110.089996,109.519997,109.980003,99.914291,7480300
01/09/2014,109.550003,109.629997,109.290001,109.370003,99.360092,4448400
08/09/2014,109.489998,109.540001,108.599998,108.629997,98.862801,4640300
15/09/2014,108.730003,108.839996,108.449997,108.68,98.90831,4406500
22/09/2014,108.860001,109.099998,108.760002,109.059998,99.254135,5025700
29/09/2014,109.160004,109.629997,109.059998,109.300003,99.472557,23940000
06/10/2014,109.400002,110.139999,109.309998,109.989998,100.274246,10189300
13/10/2014,110.150002,112.080002,110.040001,110.519997,100.757416,10751100
20/10/2014,110.690002,110.730003,110.129997,110.269997,100.52948,10374500
27/10/2014,110.279999,110.330002,109.849998,110.080002,100.356277,9417300
03/11/2014,109.830002,109.919998,109.5,109.910004,100.201332,10381100
10/11/2014,109.900002,109.940002,109.589996,109.860001,100.330673,5042900
17/11/2014,109.959999,109.959999,109.559998,109.900002,100.36721,6534000
24/11/2014,109.849998,110.620003,109.839996,110.610001,101.015617,7821300
01/12/2014,110.599998,110.599998,109.610001,109.620003,100.111526,12756900
08/12/2014,109.809998,110.660004,109.559998,110.559998,101.054466,6556800
15/12/2014,110.379997,110.68,110.059998,110.279999,100.798523,9850500
22/12/2014,110.349998,110.459999,109.459999,109.739998,100.304985,8665400
29/12/2014,109.940002,110.5,109.830002,110.43,101.275887,8852700
05/01/2015,110.559998,111.349998,110.480003,111.029999,101.826157,14653400
12/01/2015,111.160004,111.940002,111.029999,111.5,102.257172,15593800
19/01/2015,111.75,111.839996,111.290001,111.709999,102.44976,7645000
26/01/2015,111.790001,112.519997,111.449997,112.379997,103.064224,13674200
02/02/2015,112.059998,112.230003,111.029999,111.059998,101.853653,11496500
09/02/2015,111.309998,111.309998,110.709999,110.760002,101.737976,8630700
16/02/2015,110.669998,110.879997,110.239998,110.550003,101.545105,7209100
23/02/2015,110.690002,111.32,110.550003,111.199997,102.142151,11397800
02/03/2015,110.989998,110.989998,109.599998,109.699997,100.764297,16513300
09/03/2015,110.169998,110.720001,109.910004,110.339996,101.521729,10256500
16/03/2015,110.620003,111.389999,110.419998,111.32,102.423409,10490600
23/03/2015,111.370003,111.75,111,111.190002,102.303795,12368300
30/03/2015,111.339996,111.629997,111.160004,111.43,102.524597,7957500
06/04/2015,111.779999,111.779999,111.169998,111.25,102.552925,7533200
13/04/2015,111.25,111.800003,111.25,111.669998,102.940102,5680000
20/04/2015,111.669998,111.730003,111.099998,111.5,102.783379,6050100
27/04/2015,111.510002,111.559998,110.25,110.339996,101.714073,9196100
04/05/2015,110.419998,110.470001,109.610001,110.290001,101.8573,8618200
